country,iso3,region,HealthExpPC.Govt.exch,HealthExpPC.Tot.ppp,HealthExpPC.Govt.ppp,HealthExpPC.Tot.exch,total,govt,private,sex,lifeexp.Birth,lifeexp.At60,smoking.tobacco.current,smoking.tobacco.daily,smoking.cig.current,smoking.cig.daily,Pop.Total,Pop.MedAge,Pop.pCntUnder15,Pop.pCntOver60,Pop.pCntAnnGrowth,consumption.cigPC,hiv_prev15_49
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,EMR,8.72,50.47,7.87,55.93,50.47,7.87,42.6,BTSX,60,16,NA,NA,NA,NA,29825,16.2,47.42,3.82,-2.4,61,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,EMR,8.72,50.47,7.87,55.93,50.47,7.87,42.6,MLE,59,15,NA,NA,NA,NA,29825,16.2,47.42,3.82,-2.4,61,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,EMR,8.72,50.47,7.87,55.93,50.47,7.87,42.6,FMLE,61,16,NA,NA,NA,NA,29825,16.2,47.42,3.82,-2.4,61,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,AFR,114.61,214.58,132.04,186.26,214.58,132.04,82.54,MLE,50,15,NA,NA,NA,NA,20821,16.18,47.58,3.84,-3.1,414,2.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,AFR,114.61,214.58,132.04,186.26,214.58,132.04,82.54,BTSX,51,16,NA,NA,NA,NA,20821,16.18,47.58,3.84,-3.1,414,2.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,AFR,114.61,214.58,132.04,186.26,214.58,132.04,82.54,FMLE,53,16,NA,NA,NA,NA,20821,16.18,47.58,3.84,-3.1,414,2.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,EUR,114.21,565.2,253.49,254.64,565.2,253.49,311.71,BTSX,74,19,40,36,40,36,3162,32.56,21.33,14.93,-0.3,1116,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,EUR,114.21,565.2,253.49,254.64,565.2,253.49,311.71,FMLE,75,20,19,16,19,16,3162,32.56,21.33,14.93,-0.3,1116,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,EUR,114.21,565.2,253.49,254.64,565.2,253.49,311.71,MLE,73,18,60,57,60,57,3162,32.56,21.33,14.93,-0.3,1116,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,2246.75,3073.26,2257.23,3058.98,3073.26,2257.23,816.03,BTSX,82,25,35,31,35,31,78,NA,15.2,22.86,0,784,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
